Parish,Pub Description,Bus Stop Name,Extended Time Required,,,,,,,,
St Ouen,Farmers Inn,St Ouens Village S,FALSE,,,,,,,,
St Ouen,Farmers Inn,St Ouens Village N,FALSE,,,,,,,,
St Ouen,Greve D'Lecq,Greve de Lecq,FALSE,,,,,,,,
St Brelade,St Aubins,St Aubin N,FALSE,,,,,,,,
St Brelade,St Aubins,St Aubin S,FALSE,,,,,,,,
St Brelade,La Pullente,La Pulente S,FALSE,,,,,,,,
St Brelade,La Pullente,La Pulente N,FALSE,,,,,,,,
St Brelade,St Brelades Bay,St Brelades Bay E,FALSE,,,,,,,,
St Brelade,St Brelades Bay,St Brelades Bay W,FALSE,,,,,,,,
St Peter,Goose on the Green,Beaumont W,FALSE,,,,,,,,
St Peter,Goose on the Green,Beaumont E,FALSE,,,,,,,,
St Peter,St Peters Village,St Peters Inn S,FALSE,,,,,,,,
St Peter,St Peters Village,St Peters Inn N,FALSE,,,,,,,,
St Peter,The Watersplash,Watersplash N,FALSE,,,,,,,,
St Peter,The Watersplash,Watersplash S,FALSE,,,,,,,,
St Peter,Vic in the Valley,Victoria Hotel S,FALSE,,,,,,,,
St Peter,Vic in the Valley,Victoria Hotel N,FALSE,,,,,,,,
St Mary,St Mary's Country Inn,Rue d'Olive N,TRUE,,,,,,,,
St Mary,St Mary's Country Inn,Rue d'Olive S,TRUE,,,,,,,,
St Mary,St Mary's Country Inn,St Marys Church E,FALSE,,,,,,,,
St Mary,St Mary's Country Inn,St Marys Church W,FALSE,,,,,,,,
St Lawrence,Mont Fellard,Millbrook E,FALSE,,,,,,,,
St Lawrence,Mont Fellard,Millbrook W,FALSE,,,,,,,,
St John,St John's Country Inn,St Johns Church,TRUE,,,,,,,,
Trinity,Trinity Arms,Jersey Zoo,FALSE,,,,,,,,
Trinity,Trinity Arms,Trinity Church N,FALSE,,,,,,,,
Trinity,Trinity Arms,Trinity Church S,FALSE,,,,,,,,
Trinity,Trinity Arms,Trinity Arms,FALSE,,,,,,,,
St Helier,Liberation Station,Bus Station,FALSE,,,,,,,,
St Saviour,Five Oaks,Five Oaks S,FALSE,,,,,,,,
St Saviour,Five Oaks,Five Oaks N,FALSE,,,,,,,,
St Saviour,White Horse,La Mare Slipway W,FALSE,,,,,,,,
St Saviour,White Horse,La Mare Slipway E,FALSE,,,,,,,,
St Clement,La Hocq,LA Hocq Slipway W,FALSE,,,,,,,,
St Clement,La Hocq,La Hocq Slipway E,FALSE,,,,,,,,
Grouville,Pembroke,Grouville Station S,FALSE,,,,,,,,
Grouville,Pembroke,Grouville Station N,FALSE,,,,,,,,
St Martin,Gorey Pier,Gorey Pier,FALSE,,,,,,,,
